Nombre,Precio_Venta,Stock,SKU,Codigo_Barras
RELOJ ACERO INOXIDABLE,7.0,0,RAI-0152,7590000000152
RELOJ DE NINA,5.0,0,RDN-0153,7590000000153
MONEDERO NINA,5.0,0,MN-0154,7590000000154
ZARCILLOS LARGOS,3.0,0,ZL-0155,7590000000155
ZARCILLOS PEQUEÑO,2.5,0,ZP-0156,7590000000156
ARGOLLAS,1.1,0,A-0157,7590000000157
PEGA LOKA,0.5,0,PL-0158,7590000000158
PEGA COLOMBIANA VERDE,0.5,0,PCV-0159,7590000000159
PEGA MOSCA,0.32,0,PM-0160,7590000000160
PEGA RATA,1.5,0,PR-0161,7590000000161
MATA HORMIGA Y CHIRIPAS,0.4,0,MHYC-0162,7590000000162
ESPOJA DOBLE USO GRUESA,1.5,0,EDUG-0163,7590000000163
ESPONJA DE BRILLO,1.0,0,EDB-0164,7590000000164
ESPONJA DE COLORES SENCILLAS,0.5,0,EDCS-0165,7590000000165
ESPONJA DE COLORES GRUESAS,1.0,0,EDCG-0166,7590000000166
ESPONJA FINA VERDE DESTAPADOR DE CANERIA,6.5,0,EFVDDC-0167,7590000000167
DIABLO ROJO,6.0,0,DR-0168,7590000000168
LIMPIA HORNO FROTEX,5.5,0,LHF-0169,7590000000169
JARRAS 1.5 LITRO,1.6,0,J1L-0170,7590000000170
POTE DE COCINA RECTANGULAR DURAPLAS,2.5,0,PDCRD-0171,7590000000171
MARCADOR PERMANENTE,0.6,0,MP-0172,7590000000172
LAPIZ MONGO,0.6,0,LM-0173,7590000000173
LAPIZ BICOLOR,0.6,0,LB-0174,7590000000174
COLORES KROMAS,4.0,0,CK-0175,7590000000175
LAPIZ DE NINA,0.5,0,LDN-0176,7590000000176
PEGA BLANCA DAVEY,0.7,0,PBD-0177,7590000000177
SACAPUNTA SENCILLO,0.8,0,SS-0178,7590000000178
BORRADOR,0.5,0,B-0179,7590000000179
SILICON FINO,0.25,0,SF-0180,7590000000180
SILICON GRUESO,0.4,0,SG-0181,7590000000181
TIJERA PEQUENA,1.0,0,TP-0182,7590000000182
TIJERA GRANDE,2.0,0,TG-0183,7590000000183
TIJERA DE CORTE SISAC,1.2,0,TDCS-0184,7590000000184
HOJAS DE EXAMEN,0.25,0,HDE-0185,7590000000185
CARPETA MARRON,1.0,0,CM-0186,7590000000186
CAJAS DE REGALO,1.0,0,CDR-0187,7590000000187
BOLSITA DE REGALO VERDE,1.0,0,BDRV-0188,7590000000188
CAJITA DE REGALO UNICOLORES,0.4,0,CDRU-0189,7590000000189
GLOBOS POR PAQUETE,3.0,0,GPP-0190,7590000000190
CORTINA DE REGALO,3.5,0,CDR-0191,7590000000191
GLOBOS METALIZADOS DE FELIZ CUMPLEANO,5.5,0,GMDFC-0192,7590000000192
GLOBOS FELIZ CUMPLEANOS EN LETRA,6.0,0,GFCEL-0193,7590000000193
BOLTEO DE JUGUETE,5.0,0,BDJ-0194,7590000000194
NAYLE,2.5,0,N-0195,7590000000195
LEGO,3.0,0,L-0196,7590000000196
CARRO DE DINOSAURIO,4.0,0,CDD-0197,7590000000197
PALOS DE ALTURA,0.1,0,PDA-0198,7590000000198
SPLAHT DAMA CABALLERO Y NINOS,2.2,0,SDCYN-0199,7590000000199
PERFUMES EN ACEITES EN FRASCO PEQUEÑO,5.0,0,PEAEFP-0200,7590000000200
COLONIA DE DAMA Y CABALLERO GRANDE,6.0,0,CDDYCG-0201,7590000000201
COLAGENO KARSELL,2.0,0,CK-0202,7590000000202
NUTRIBELLA,1.0,0,N-0203,7590000000203
TERMOS DE METAL,12.0,0,TDM-0204,7590000000204
TAZAS DE NINOS,1.2,0,TDN-0205,7590000000205
CABLE TIPO C,2.0,0,CTC-0206,7590000000206
PESTANAS 10 Y 12,2.0,0,P1Y1-0207,7590000000207
TINTA CHINA,2.0,0,TC-0208,7590000000208
LABIAL,2.0,0,L-0209,7590000000209
